Rank_,Airline,Country,2022_,2021_,2020_,2019_,2018_,2017_,2016_,2015_,2014_,2013_,2012_,2011_
1,American Airlines,United States,308065,237471,123997,342510,330577,323968,320044,320813,208046,206551,203336,203485
2,United Airlines,United States,305893,178499,100188,342935,329562,310859,299080,294970,287547,286802,288282,160270
3,Delta Air Lines,United States,292202,195312,106488,350145,330034,316378,308088,302512,290862,277560,271567,269724
4,Emirates,United Arab Emirates,225867,93799,78746,299496,302298,288886,270797,251190,230855,209377,180880,153264
5,Ryanair,Ireland,207000,120563,64928,185405,170900,157114,142740,125194,,,,
6,Southwest Airlines,United States,199263,166631,87263,211379,214561,207762,200848,189097,162445,145124,137708,134918
7,Qatar Airways,Qatar,168000,91551,57171,172591,152210,,137603,,,,,
8,Turkish Airlines,Turkey,162655,86701,52206,150240,145521,,125098,,,,,
9,Air France,France,123444,60180,48809,150870,143904,,136659,139217,134528,136405,135821,133035
10,Lufthansa,Germany,119363,50067,37503,165945,158986,152214,149702,145904,143403,144236,142512,140972
11,British Airways,United Kingdom,104496,30698,38825,155252,151784,,144028,140780,137204,130129,124318,116864
12,China Southern Airlines,China,102078,109309,110650,213573,200239,177458,205720,189186,166074,147841,135021,121944
13,Qantas,Australia,63849,10157,,86199,85663,,120029,,,110203,108051,
14,China Eastern Airlines,China,61288,88677,88728,186644,166282,150916,138042,,,,,
15,Air China,China,60355,67745,71417,169030,161199,146961,135464,,112247,,,