Rank_,Airline,Country,2022_,2021_,2020_,2019_,2018_,2017_,2016_,2015_,2014_,2013_,2012_
1,FedEx Express,United States,19547,20660,19656,17503,17499,16851,15712,15799,16020,16127,16108
2,UPS Airlines,United States,15889,15529,14371,12842,12459,11940,11264,10807,10936,10584,10416
3,Qatar Airways Cargo,Qatar,14267,16102,13740,13024,12695,10999,9221,7660,5997,4972,
4,Emirates SkyCargo,United Arab Emirates,10153,11842,9569,12052,12713,12715,12270,12157,11240,10459,9319
5,Korean Air Cargo,South Korea,9518,10429,8104,7412,7839,8015,7666,7761,8079,7666,8144
6,Atlas Air,United States,8675,8441,5458,4522,4553,,,,,,
7,Turkish Cargo,Turkey,8318,9223,6977,7029,5890,4728,3640,,,,
8,Cargolux,Luxembourg,7971,8587,7345,7180,7322,7322,6878,6309,5753,5225,
9,China Southern Airlines Cargo,China,6915,8078,6591,6825,6597,6174,5939,5355,4736,,
10,China Airlines Cargo,Taiwan,6359,7513,6317,5334,5804,5741,5273,5343,5266,4813,4538